"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Individuos","metadata_Especies","n_images","HierarchicalSubject"
"1","CAM_1","Cuniculus paca",2019-09-29 02:49:30,2019-09-29,"02:49:30",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_1/Cuniculus_paca","I_00012a.JPG","1 ind","Cuniculus paca",1,"Individuos|1 ind, Especies|Cuniculus paca"
"2","CAM_1","Nasua narica",2019-09-19 08:53:45,2019-09-19,"08:53:45",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_1/Nasua_narica","I_00009a.JPG","1 ind","Nasua narica",1,"Especies|Nasua narica, Individuos|1 ind"
"3","CAM_1","Odocoileus virginianus",2019-09-18 10:02:06,2019-09-18,"10:02:06",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00004a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"4","CAM_1","Odocoileus virginianus",2019-09-18 10:20:59,2019-09-18,"10:20:59",1133,18.9,0.3,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00005a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"5","CAM_1","Odocoileus virginianus",2019-09-19 00:10:00,2019-09-19,"00:10:00",49741,829,13.8,0.6,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00006a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"6","CAM_1","Odocoileus virginianus",2019-09-19 00:15:09,2019-09-19,"00:15:09",309,5.2,0.1,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00007a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"7","CAM_1","Odocoileus virginianus",2019-09-19 00:16:08,2019-09-19,"00:16:08",59,1,0,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00008a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"8","CAM_1","Odocoileus virginianus",2019-09-22 04:49:22,2019-09-22,"04:49:22",275594,4593.2,76.6,3.2,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00010a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"9","CAM_1","Odocoileus virginianus",2019-09-25 09:10:33,2019-09-25,"09:10:33",274871,4581.2,76.4,3.2,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00011a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"10","CAM_1","Odocoileus virginianus",2019-10-07 18:51:56,2019-10-07,"18:51:56",1071683,17861.4,297.7,12.4,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00013a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"11","CAM_1","Odocoileus virginianus",2019-10-07 19:38:02,2019-10-07,"19:38:02",2766,46.1,0.8,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00014a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
"12","CAM_1","Odocoileus virginianus",2019-10-07 19:39:17,2019-10-07,"19:39:17",75,1.2,0,0,"UMA_OCOTONES_CHIS/CAM_1/Odocoileus_virginianus","I_00015a.JPG","1 ind","Odocoileus virginianus",1,"Especies|Odocoileus virginianus, Individuos|1 ind"
